key,jp,en,ru
name1,マリア,"Maria","Мария"
phrase2,疲れた……。,"I'm exhausted...","Я совсем вымоталась..."
phrase3,マリアは図書室の片隅で机に突っ伏していた。,"Maria was slumped over a desk in the library corner.","Мария лежала лицом на столе в углу библиотеки."
phrase4,期末試験が終わって,"Now that finals are over,","Теперь, когда экзамены закончились,"
phrase5,やっと一段落したと思ったのに……。,"I thought I could finally rest...","я думала, что смогу наконец-то отдохнуть..."
phrase6,マリアが思い出すのは,"Maria's thoughts turned to...","мысли Марии унеслись к..."
phrase7,第四王子アラン・スティアートだ。,"the Fourth Prince, Alan Stuart.","четвёртому принцу — Алану Стюарту."
phrase8,双子の兄であるジオルドだけでなく,"Not just his twin, Geordo,","Не только его близнеца Джордо,"
phrase9,女で平民のマリアにも試験結果が及ばなかったことで,"but also that even Maria, a commoner,","но и то, что даже Мария, простолюдинка,"
phrase10,アランはささくれ立っていた。,"outdid him in the exams, leaving Alan irritated.","превзошла его на экзаменах, что его разозлило."
phrase11,顔を合わせるたびに、キツイこと,"Every time we meet, he says something harsh...","Каждый раз при встрече он говорит что-то резкое..."
phrase12,言われちゃうんだよね……。,"It really hurts...","Это так больно..."
phrase13,しかし、それは悔しさからの言葉であり,"But it's out of frustration,","Но это от разочарования,"
phrase14,カタリナのような悪意をぶつけられているのではない,"not malice, like Katarina's.","а не от злобы, как у Катарины."
phrase15,とはわかっている。,"I get that.","Я это понимаю."
phrase16,自分の存在がアランのストレスになるのなら、,"If I cause Alan stress,","Если моё присутствие вызывает у Алана стресс,"
phrase17,マリアはアランを避けた方がいいと考えていた。,"Maria thought she should avoid him.","Мария решила, что ей лучше избегать его."
phrase18,と、その時だ。,"Just then,","И в этот момент,"
phrase19,図書室の扉が開く音が聞こえ、,"She heard the library door open,","Она услышала, как открылась дверь библиотеки,"
phrase20,マリアはびくっととび起きた。,"and Maria jumped up in surprise.","и Мария резко вздрогнула."
phrase21,本棚の影から入室者を確認すると、,"Peeking from behind the shelf, she saw who entered.","Заглянув из-за книжного шкафа, она увидела вошедшего."
phrase22,不機嫌そうな顔の彼がいた。,"It was him, looking displeased.","Это был он, с недовольным лицом."
phrase23,うう……アラン様だ……。,"Ugh... It's Prince Alan...","Ох... Это Алан-сама..."
