key,jp,en,ru
name1,マリア,"Maria","Мария"
phrase2,ここ、どこかしら……。,"Where am I...?","Где это я...?"
phrase3,/*,/*,/*
phrase4,可憐な庭、薔薇の香り。,"A lovely garden, with the scent of roses.","Прекрасный сад, запах роз."
phrase5,美しい風景に反して,"Despite the beautiful scenery,","Несмотря на пейзаж,"
phrase6,少女は困惑の表情を浮かべていた。,"the girl looked confused.","девушка выглядела растерянной."
phrase7,魔法学園に入学したばかりの少女――,"The girl who had just enrolled in the magic academy—","Девушка, поступившая в магическую академию —"
phrase8,マリアはその好奇心から,"Maria, out of curiosity,","Мария из любопытства"
phrase9,学園内を散策していたのだが……。,"had been exploring the academy...","бродила по академии..."
phrase10,迷子になってしまうなんて……。,"But to get lost like this...","Но потеряться вот так..."
phrase11,どうしよう……。,"What should I do...?","Что же делать...?"
phrase12,マリアは周囲を見渡した。,"Maria looked around.","Мария осмотрелась."
phrase13,すると、大きな木が目に留まる。,"Then, she saw a large tree.","Тогда она заметила большое дерево."
phrase14,そうだ、あの高い木に登れば,"Yes, if I climb that tree,","Точно, если я заберусь на это дерево,"
phrase15,今どこにいるのかわかるかも……。,"I might figure out where I am...","я смогу понять, где нахожусь..."
phrase16,マリアはスカートのまま,"Maria, in her skirt,","Мария, несмотря на юбку,"
phrase17,木に足をかけた。,"placed her foot on the tree.","поставила ногу на ствол."
phrase18,しかし。,"But...","Однако..."
phrase19,どうにか登れそうだ、と,"Just as she thought she could climb,","Как только ей показалось, что она сможет,"
phrase20,力を込めようとしたその時である。,"and was about to pull herself up...","и она собралась сделать усилие..."
phrase21,――おや。,"—Oh.","—Ох."
phrase22,そこで何を？,"What are you doing there?","Что ты там делаешь?"
phrase23,え？,"Huh?","А?"
phrase24,……あっ！,"...Ah!","...Ах!"
phrase25,マリアは木に登ろうとした姿勢のまま,"Still in her climbing pose, Maria","Всё ещё стоя в позе для подъёма,"
phrase26,目を真ん丸にした。,"opened her eyes wide.","Мария широко раскрыла глаза."
phrase27,何故なら、そこにいたのは――。,"Because standing there was—","Потому что там стоял—"
name28,ジオルド,"Geordo","Джордо"
phrase29,ジ……ジオルド様……!?,"P-Prince Geordo...?","Д-Джордо-сама...!?"
phrase30,ジオルド・スティアート。,"Geordo Stuart.","Джордо Стюарт."
phrase31,この国の第三王子その人である。,"The third prince of this kingdom.","Сам третий принц королевства."
phrase32,マリアは慌てて姿勢を正し、,"Maria quickly adjusted her posture","Мария быстро выпрямилась"
phrase33,深々とかしずいた。,"and bowed deeply.","и глубоко поклонилась."
phrase34,申し訳ございません。,"I apologize.","Прошу прощения."
