key,jp,en,ru
name1,キース,"Keith","Кит"
phrase2,君、かわいいね。どこの家のコ？,"You're cute. Which family are you from?","Ты милая. Из какой ты семьи?"
name3,マリア,"Maria","Мария"
phrase4,え……あの……？,"Huh... um...?","Э... это...?"
phrase5,目の前に現れた少年が,"The boy who appeared in front of her","Юноша, появившийся перед ней,"
phrase6,突然そう言ったものだから,"suddenly said that,","внезапно так сказал,"
phrase7,マリアは一瞬、頭が真っ白になった。,"and Maria's mind went blank for a moment.","и на мгновение разум Марии помутнел."
phrase8,マリアは少年をまじまじと見て,"Maria stared at the boy intently","Мария внимательно посмотрела на юношу"
phrase9,ハッと少年の正体に気づく。,"and suddenly realized who he was.","и внезапно осознала, кто он."
phrase10,彼はキース・クラエス。,"He was Keith Claes,","Это был Кит Клаес,"
phrase11,公爵家の跡取で、第三王子ジオルドの婚約者である,"the heir to the Claes dukedom, and the stepbrother of","наследник дома Клаес и сводный брат"
phrase12,カタリナ・クラエス公爵令嬢の義弟だ。,"Lady Katarina Claes, the fiancée of Prince Geordo.","леди Катарины Клаес, невесты принца Джордо."
phrase13,キースは余裕ぶった笑みで、マリアに顔を寄せる。,"With a confident smile, Keith leaned closer to Maria.","Кит с уверенной улыбкой наклонился к Марии."
phrase14,ねえ、ちょっと僕と遊んでよ。,"Hey, why don't you play with me for a bit?","Эй, давай поиграем немного?"
phrase15,キースはマリアのあごに触れて,"Keith touched Maria's chin","Кит прикоснулся к подбородку Марии"
phrase16,持ち上げようとするが――,"and tried to lift it, but—","и попытался поднять её лицо, но—"
phrase17,（どうしよう？）,"(What should I do?)","(Что же мне делать?)"
text18,逃げる,"Run away","Убежать"
text19,様子を見る,"See what happens","Остаться и посмотреть"
phrase20,け、結構です！,"N-no, thank you!","Н-нет, спасибо!"
phrase21,マリアは慌ててキースから半歩退がった。,"Maria hurriedly stepped back from Keith.","Мария в спешке отступила от Кита на полшага."
phrase22,（相手はクラエス公爵家御曹司。,,"(He's the heir of the Claes family.","(Он же наследник дома Клаес."
phrase23,きっとからかってるんだわ……！）,,"He must be teasing me...!)","Он, должно быть, просто дразнит меня...!)"
phrase24,へぇ、この僕に「結構です」？,"Oh? You're telling *me* 'no, thank you'?","Ого? Ты говоришь *мне* «нет, спасибо»?"
phrase25,空ぶった掌を見ながら,"Keith glanced at his empty hand","Кит посмотрел на свою пустую руку"
phrase26,キースは愉快そうに片眉を上げた。,"and raised an amused eyebrow.","и насмешливо приподнял бровь."
phrase27,私、貴族でもなんでもない、ただの平民の女です。,"I'm not a noble or anything, just a common girl.","Я не дворянка, я простая девушка."
phrase28,とてもじゃありませんが,,"There's no way I could ever","Никак не могу"
phrase29,キース様のお相手などつとまりませんので！,"be worthy of someone like you, Lord Keith!","быть достойной такого, как вы, Кит-сама!"
phrase30,マリアは早口で言い訳を並べた。,"Maria quickly rattled off her excuses.","Мария быстро начала лепетать оправдания."
phrase31,実際、公爵家の不評を買うなど,,"In reality, offending the Claes family","На самом деле, вызвать недовольство дома Клаес"
phrase32,平民としては命がいくつあっても,,"could cost a commoner like her her life.","для простолюдинки означало бы приговор."
phrase33,足りないほどの事態である。,"",""
phrase34,あの、あの、私っ……,"Um, um, I...","Эм, э-эм, я..."
phrase35,授業がありますのでこれで失礼いたします……！,"I have class, so I must be going...!","Мне нужно на занятия, так что прошу меня извинить...!"
phrase36,マリアはキースへ一礼をすると,"Maria gave Keith a quick bow","Мария быстро поклонилась Киту"
phrase37,きびすを返して走り出した。,"and quickly turned to run.","и быстро развернулась, чтобы убежать."
phrase38,（相手はクラエス公爵家御曹司……,,"(He's the heir to the Claes family...","(Он же наследник дома Клаес..."
phrase39,下手に拒絶したらどうなるか……）,,"What if rejecting him causes problems...?)","Что если мой отказ вызовет проблемы...?)"
phrase40,公爵家の不評を買うなど,,"Offending the Claes family","Вызвать недовольство дома Клаес"
phrase41,平民としては命がいくつあっても,,"would be more than a commoner could handle.","для простолюдинки хуже некуда."
phrase42,足りないほどの事態である。,,"",""
phrase43,何をされるのかわからないが……,"I don't know what he'll do to me, but...","Я не знаю, что он сделает, но..."
phrase44,わからないからこそ、マリアはギュッと,"Not knowing made Maria tightly shut her eyes","От этой неизвестности Мария крепко зажмурилась"
phrase45,目を閉じて身を小さくした。,"and curl up slightly.","и сжалась в комочек."
phrase46,――が、いつまで経っても何も起きず。,"—But no matter how long she waited, nothing happened.","—Но сколько бы она ни ждала, ничего не происходило."
phrase47,（あ、あれ……？）,,"(Huh...?)","(Ч-чего...?)"
phrase48,おそるおそる目を開くと,,"When she cautiously opened her eyes,","Когда она осторожно открыла глаза,"
phrase49,困ったように肩を竦めるキースがいた。,"Keith was there, shrugging awkwardly.","перед ней стоял Кит, неловко пожимая плечами."
phrase50,そんなリアクションしないでよ。,"Don't react like that.","Не реагируй так."
phrase51,まるで僕が君をいじめてるみたいだ。,"It's like I'm bullying you or something.","Будто я тебя обижаю."
phrase52,レディには酷いことなんかしないよ。,"I wouldn't do anything bad to a lady.","Я бы не сделал ничего плохого леди."
phrase53,……それとも、実は期待してた？,"...Or were you actually expecting something?","...Или ты на самом деле чего-то ожидала?"
phrase54,～っ！,"—!","—!"
phrase55,（この人、私をからかってるんだ！）,,"(He's teasing me!)","(Он дразнит меня!)"
phrase56,あの！　私っ……,"Um! I...","Э-э! Я..."
phrase57,授業がありますので、これで失礼いたします！,"I have class, so I must go!","Мне нужно на занятия, так что прошу меня извинить!"
phrase58,マリアはキースから飛び退くと,"Maria jumped back from Keith","Мария отскочила от Кита"
phrase59,そのままきびすを返して走り出した。,"and quickly turned and ran.","и быстро развернулась и убежала."
phrase60,ふーん……。,"Hmph...","Хм..."
phrase61,自分の誘いを断るなんて、,"Rejecting my offer, huh?","Отказаться от моего предложения, да?"
phrase62,とキースは片眉を上げた。,"Keith raised an eyebrow.","Кит приподнял бровь."
phrase63,キースは予想外の反応をした,"Keith, surprised by her reaction,","Кит, удивлённый её реакцией,"
phrase64,マリアの背を、獲物を見つけた,"watched Maria's retreating back with the eyes of a predator.","смотрел ей вслед, как хищник."
phrase65,猫のような眼差しで見ていた。,"like a cat watching its prey.","словно кот, следящий за своей добычей."
phrase66,それから数歩。,"He took a few steps forward.","Он сделал несколько шагов вперёд."
phrase67,キースはマリアが落としてしまった,"Keith picked up the handkerchief","Кит поднял платочек,"
phrase68,ハンカチを拾い上げる。,"Maria had dropped.","который Мария уронила."
phrase69,へえ。安っぽいけどいい趣味してるね。,"Hmm. It's cheap, but it's got nice taste.","Хм. Дёшево, но со вкусом."
phrase70,ハンカチに刺繍された「マリア」という,"Looking at the name 'Maria' embroidered on it,","Посмотрев на имя «Мария», вышитое на платке,"
phrase71,名前を眺め、キースはニヤリと,"Keith grinned slyly,","Кит хитро ухмыльнулся"
phrase72,意地の悪い笑みを浮かべるのであった。,"a mischievous smile on his face.","с хитрой улыбкой на лице."
phrase73,マリアには悩みがあった。,"Maria had a problem.","У Марии была проблема."
phrase74,そして今、その悩みに直面している。,"And now, she was facing it.","И сейчас она столкнулась с ней лицом к лицу."
name75,カタリナ,"Katarina","Катарина"
phrase76,平民のくせに――。,"For a commoner—","Для простолюдинки—"
phrase77,公爵令嬢カタリナと,"Lady Katarina and","Леди Катарина и"
phrase78,その取り巻きの令嬢が,"her group of noble ladies","её свита благородных девушек"
