key,jp,en,ru
phrase1,平民の出のマリアが,"Maria, born a commoner,","Мария, родом из простолюдинов,"
phrase2,魔法学園の生徒会メンバーに任命されたのは、,"was appointed as a member of the Magic Academy's student council","была назначена членом студенческого совета Магической Академии"
phrase3,彼女の成績が優秀であるがゆえである。,"due to her excellent grades.","благодаря её отличным оценкам."
name4,マリア,"Maria","Мария"
phrase5,（今日から私も生徒会の一員……,"(Starting today, I'm part of the student council...","(Сегодня я тоже стала членом студсовета..."
phrase6,しっかり頑張らないとっ……！）,"I have to do my best...!)","Нужно хорошенько постараться...!)"
phrase7,緊張と使命感を胸に,"With a mix of nerves and determination,","С чувством волнения и ответственности"
phrase8,マリアは生徒会室への扉を開けた。,"Maria opened the door to the student council room.","Мария открыла дверь в кабинет студенческого совета."
name9,ニコル,"Nicol","Николь"
phrase10,――こんにちは。,"—Hello.","—Привет."
phrase11,君が新メンバーのキャンベル嬢ですね？,"You must be Miss Campbell, the new member?","Вы, должно быть, мисс Кэмпбелл, новая участница?"
phrase12,マリアを出迎えたのは,"The one who greeted Maria was","Марии встретил"
phrase13,生徒会副会長にして宰相である,"the student council vice president and son of the Prime Minister,","вице-президент студенческого совета и сын премьер-министра,"
phrase14,アスカルト伯爵の子息ニコル・アスカルトだった。,"Nicol Ascart, son of Count Ascart.","Николь Аскарт, сын графа Аскарта."
phrase15,上級生で、マリアにとって一歳年上の先輩である。,"An upperclassman, and a year older than Maria.","Старший ученик, на год старше Марии."
phrase16,ごきげんよう。,"Good day.","Добрый день."
phrase17,マリア・キャンベルです。どうぞよろしくお願いします。,"I'm Maria Campbell. It's a pleasure to meet you.","Я Мария Кэмпбелл. Прошу любить и жаловать."
phrase18,マリアは深々とお辞儀をする。,"Maria bowed deeply.","Мария глубоко поклонилась."
phrase19,……と、ニコルとは異なる視線を感じて,"...And then she felt a different gaze from Nicol,","...И тут она почувствовала другой взгляд, не от Николя,"
phrase20,顔を上げれば、彼の背に隠れて,"She looked up and saw, hiding behind him,","Она подняла глаза и увидела, что за его спиной прячется"
phrase21,白い少女がマリアを見つめていた。,"a pale girl staring at Maria.","бледная девушка, смотревшая на Марию."
phrase22,（綺麗な人……！）,"(What a beautiful person...!)","(Какая красивая девушка...!)"
phrase23,っ！,"...!","!"
phrase24,少女と目が合った瞬間、,"The moment their eyes met,","Как только их взгляды встретились,"
